Salinity_1,Salinity_2,FPD
0.0,0.0,0.0
1.0,0.0,1.74
2.0,0.0,3.39
3.0,0.0,4.96
4.0,0.0,6.45
5.0,0.0,7.86
6.0,0.0,9.21
7.0,0.0,10.49
8.0,0.0,11.7
9.0,0.0,12.85
10.0,0.0,13.94
11.0,0.0,14.97
12.0,0.0,15.96
13.0,0.0,16.89
14.0,0.0,17.79
15.0,0.0,18.63
16.0,0.0,19.45
17.0,0.0,20.22
18.0,0.0,20.97
19.0,0.0,21.68
20.0,0.0,22.38
21.0,0.0,23.05
0.0,0.1,0.18
1.0,0.1,1.91
2.0,0.1,3.55
3.0,0.1,5.11
4.0,0.1,6.59
5.0,0.1,8.0
6.0,0.1,9.34
7.0,0.1,10.61
8.0,0.1,11.81
9.0,0.1,12.96
10.0,0.1,14.04
11.0,0.1,15.07
12.0,0.1,16.05
13.0,0.1,16.99
14.0,0.1,17.87
15.0,0.1,18.72
16.0,0.1,19.53
17.0,0.1,20.3
18.0,0.1,21.04
19.0,0.1,21.75
20.0,0.1,22.44
21.0,0.1,23.11
0.0,0.2,0.35
1.0,0.2,2.07
2.0,0.2,3.71
3.0,0.2,5.26
4.0,0.2,6.74
5.0,0.2,8.14
6.0,0.2,9.47
7.0,0.2,10.73
8.0,0.2,11.93
9.0,0.2,13.07
10.0,0.2,14.15
11.0,0.2,15.17
12.0,0.2,16.15
13.0,0.2,17.08
14.0,0.2,17.96
15.0,0.2,18.8
16.0,0.2,19.6
17.0,0.2,20.37
18.0,0.2,21.11
19.0,0.2,21.82
20.0,0.2,22.51
21.0,0.2,23.18
0.0,0.3,0.53
1.0,0.3,2.24
2.0,0.3,3.87
3.0,0.3,5.41
4.0,0.3,6.88
5.0,0.3,8.28
6.0,0.3,9.6
7.0,0.3,10.86
8.0,0.3,12.05
9.0,0.3,13.18
10.0,0.3,14.25
11.0,0.3,15.27
12.0,0.3,16.24
13.0,0.3,17.17
14.0,0.3,18.04
15.0,0.3,18.88
16.0,0.3,19.68
17.0,0.3,20.45
18.0,0.3,21.19
19.0,0.3,21.89
20.0,0.3,22.58
21.0,0.3,
0.0,0.4,0.71
1.0,0.4,2.41
2.0,0.4,4.03
3.0,0.4,5.56
4.0,0.4,7.02
5.0,0.4,8.41
6.0,0.4,9.73
7.0,0.4,10.98
8.0,0.4,12.16
9.0,0.4,13.29
10.0,0.4,14.36
11.0,0.4,15.37
12.0,0.4,16.34
13.0,0.4,17.26
14.0,0.4,18.13
15.0,0.4,18.96
16.0,0.4,19.76
17.0,0.4,20.52
18.0,0.4,21.26
19.0,0.4,21.96
20.0,0.4,22.65
21.0,0.4,
0.0,0.5,0.88
1.0,0.5,2.57
2.0,0.5,4.18
3.0,0.5,5.71
4.0,0.5,7.17
5.0,0.5,8.55
6.0,0.5,9.86
7.0,0.5,11.1
8.0,0.5,12.28
9.0,0.5,13.4
10.0,0.5,14.46
11.0,0.5,15.47
12.0,0.5,16.43
13.0,0.5,17.34
14.0,0.5,18.22
15.0,0.5,19.05
16.0,0.5,19.84
17.0,0.5,20.6
18.0,0.5,21.33
19.0,0.5,22.03
20.0,0.5,22.71
21.0,0.5,
0.0,0.6,1.05
1.0,0.6,2.74
2.0,0.6,4.34
3.0,0.6,5.86
4.0,0.6,7.31
5.0,0.6,8.68
6.0,0.6,9.98
7.0,0.6,11.22
8.0,0.6,12.39
9.0,0.6,13.51
10.0,0.6,14.57
11.0,0.6,15.57
12.0,0.6,16.53
13.0,0.6,17.43
14.0,0.6,18.3
15.0,0.6,19.13
16.0,0.6,19.92
17.0,0.6,20.67
18.0,0.6,21.4
19.0,0.6,22.1
20.0,0.6,22.78
21.0,0.6,
0.0,0.7,1.23
1.0,0.7,2.9
2.0,0.7,4.49
3.0,0.7,6.01
4.0,0.7,7.45
5.0,0.7,8.81
6.0,0.7,10.11
7.0,0.7,11.34
8.0,0.7,12.51
9.0,0.7,13.62
10.0,0.7,14.67
11.0,0.7,15.67
12.0,0.7,16.62
13.0,0.7,17.52
14.0,0.7,18.38
15.0,0.7,19.21
16.0,0.7,19.99
17.0,0.7,20.75
18.0,0.7,21.47
19.0,0.7,22.17
20.0,0.7,22.85
21.0,0.7,
0.0,0.8,1.4
1.0,0.8,3.06
2.0,0.8,4.65
3.0,0.8,6.16
4.0,0.8,7.59
5.0,0.8,8.95
6.0,0.8,10.24
7.0,0.8,11.46
8.0,0.8,12.62
9.0,0.8,13.72
10.0,0.8,14.77
11.0,0.8,15.76
12.0,0.8,16.71
13.0,0.8,17.61
14.0,0.8,18.47
15.0,0.8,19.29
16.0,0.8,20.07
17.0,0.8,20.82
18.0,0.8,21.54
19.0,0.8,22.24
20.0,0.8,22.91
21.0,0.8,
0.0,0.9,1.57
1.0,0.9,3.23
2.0,0.9,4.8
3.0,0.9,6.3
4.0,0.9,7.73
5.0,0.9,9.08
6.0,0.9,10.36
7.0,0.9,11.58
8.0,0.9,12.73
9.0,0.9,13.83
10.0,0.9,14.87
11.0,0.9,15.86
12.0,0.9,16.8
13.0,0.9,17.7
14.0,0.9,18.55
15.0,0.9,19.37
16.0,0.9,20.15
17.0,0.9,20.89
18.0,0.9,21.61
19.0,0.9,22.31
20.0,0.9,22.98
21.0,0.9,
