Temp_C, depth_m
0.030078441172850107, 1.6998123827392129
0.03414037351873756, 2.273921200750469
0.0315666973767151, 3.0506566604127583
0.023532351855097555, 3.6754221388367734
0.03311090306192839, 4.384615384615385
0.20596123073939107, 4.418386491557223
0.42061701088030934, 4.435272045028142
0.6532213846377635, 4.435272045028142
0.9574522844173233, 4.418386491557225
1.2555511210411074, 4.4521575984990625
1.4761151664124064, 4.4859287054409025
1.660614176106587, 4.604127579737335
1.743777485182712, 4.705440900562854
1.7073208031361546, 4.908067542213886
1.7304503187255442, 5.127579737335838
1.7234790133495455, 5.431519699812384
1.7464406804948913, 5.701688555347091
1.8410848231436883, 5.938086303939961
1.9776463172186385, 6.123827392120078
2.090518800890714, 6.258911819887432
2.1853307919835583, 6.4446529080675425
2.292071212499859, 6.630393996247657
2.4465253507099978, 6.816135084427769
2.5949033752457096, 7.03564727954972
2.725444705127583, 7.238273921200751
2.820256696220423, 7.424015009380865
2.986471415409978, 7.660412757973737
3.110824732654727, 7.930581613508441
3.2232496204760177, 8.20075046904315
3.3177818641621166, 8.470919324577867
3.4119784109601294, 8.842401500938086
3.458517189545651, 9.196998123827399
3.481143159802906, 9.568480300187616
3.4920644985620974, 9.872420262664166
3.5207665824937773, 10.210131332082554
3.4954550371318054, 10.649155722326457
3.422709521482734, 11.003752345215768
3.368080447894246, 11.29080675422139
3.2773863386286393, 11.66228893058161
3.2349654418703513, 11.864915572232645
3.186356532474943, 12.13508442776736
3.1318393578491506, 12.388367729831144
3.0891387136841204, 12.675422138836776
