yearEnd,heat_J_streams,totQ_m3,meantemp_stream,heat_J_lake,vol_lake_m3,cumvol_lake_m3,meantemp_lake,perHeat,perVol
1991,36670820832242.3,2314657.809,2.7208530233617965,NA,NA,NA,NA,NA,NA
1992,30187166320499.547,1645395.651,3.0827488494691933,NA,NA,NA,NA,NA,NA
1994,9427313976472.545,653062.536,2.6243617027176915,NA,NA,NA,NA,NA,NA
1995,1813016930790.8188,108201.006,2.5181916242725975,293984185559479.8,26273569.88523,54079343.72901644,2.5129883781578957,0.6167055984118586,0.20007825269141424
1996,5776400162817.786,291527.811,3.4118374043913535,252480684723176.1,26357788.38038,53726026.201616436,2.1590990550088947,2.287858245137098,0.542619344125676
1997,5771248218943.203,258991.875,4.023475781513358,239572289611561.5,26890124.20878,53372708.67421644,1.9991272128004365,2.4089798650338934,0.4852515104318007
1998,4755049127775.145,244013.832,2.865641819089657,211244606945838.84,27960849.861580003,52669844.93691644,1.6690434747171579,2.2509682952494474,0.46328944444825965
1999,9677795183915.645,564324.885,2.9085099388871636,181485537820483.3,24122464.964246668,52669844.93691644,1.64093512212336,5.332543463319072,1.0714382882195712
2000,4224656974321.7036,239647.275,2.8142057025009772,165974563705575.2,21901683.04603,50266226.00266644,1.6477445566535538,2.5453641088136174,0.4767560528361281
2001,2355415110555.6196,129961.332,2.4205736575837435,145380422769282.1,21895353.04848,49214123.06141644,1.425379338498735,1.6201735183379196,0.2640732454743034
2002,63360365081853.72,2903183.60815,3.6983540687603433,139083725883864.61,19960943.856146667,46988857.188583106,1.4762364280534437,45.55555632350534,6.178451194287371
2003,4228084821324.4297,271718.595,2.1066765398502216,116689416750297.08,23056831.81408,50617657.87131644,1.1042630240344733,3.623366144996749,0.5368059416948547
2004,6691763831793.052,377299.84553,2.884402417018373,150779575207696.25,21453712.124980003,53374594.33296644,1.5202423368318705,4.438110282891607,0.706890329088578
2005,15849133004302.857,1079479.143,2.7815357237669045,148375794078997.66,20476307.579246666,52905387.83531644,1.5715163520310804,10.681751092003946,2.0403954817611316
2006,20180460537784.855,1314354.528,2.931327083261759,147845299043585.66,21310767.099546667,55743556.487883106,1.5123192571597037,13.649714037803486,2.357859115583519
2007,13694203584446.756,875163.447,2.8975530183183524,186874430437714.53,23631594.188646667,53608253.692483105,1.7410152675929864,7.328024252633669,1.6325162390483063
2008,14537508133715.695,781675.1256,3.0435358428516275,269027062104873.16,30111940.469165716,54485331.54387358,2.0102020648636305,5.40373448677391,1.4346524164408667
2009,59483567595936.75,3102541.2,2.961890983473553,282914075689708.2,28697503.34028,55029219.77588311,2.2256629837782147,21.02531217328917,5.6379887133339075
2010,12761984854222.088,648968.589,3.4544960467348274,310345772350506.3,31266366.89988,56222353.86501644,2.2607070397411824,4.112182601220882,1.1542892539826788
2011,57084114595476.04,3070515.474,2.970537685613356,318331923836794.3,32404971.69864667,57916011.425949775,2.2398900782351476,17.932261994792114,5.301669431994463
2012,23386826391894.266,1229552.4138,2.7445621079938687,309523188014747.3,31820679.44674667,58888959.75251644,2.2181020493813888,7.555759082831621,2.0879166807619804
2013,20546742486692.41,1113274.539,3.543455563733427,306505048346621.94,32390396.871546667,59625311.82568311,2.159375368498374,6.7035576077873955,1.86711734481943
2014,47874753883387.195,2250068.157,3.7277295986498222,272959935411661.88,31260792.06023,60612862.41041644,1.980119919872419,17.539113867090183,3.712195840157718
2015,11123361008061.723,620647.326,2.476834815973165,302243361266014.4,31820679.44674667,61358598.904116444,2.16217328370253,3.6802664453799814,1.0115083086722207
2016,34836397217075.176,1960754.715,2.887922133603301,291533569831827.3,31259295.31628,60861441.24164978,2.1202856943837554,11.949360492917071,3.2216698701150404
2017,8271272943107.551,511805.115,3.037968805005218,271263855749397.34,30148549.973246668,62108461.03611644,2.041349652856142,3.0491614595159446,0.8240505503789286
2018,5601325826276.443,261324.594,3.096774297636523,247775734109751.72,27783810.85618,61358598.904116444,2.0110463323673744,2.2606434186954516,0.42589726406296446
2019,15747549923796.162,900820.782,3.0732306344338474,225106817202253.6,27613946.33184667,60861441.24164978,1.8276880646857405,6.995589969026718,1.4801174004790647
2020,14449947729164.637,668935.1619934768,3.259605014908861,201354723361858,27960849.861580003,60612862.41041644,1.6158348294806026,7.176363925268538,1.103619158362861
2022,18034267487102.496,990860.4205009516,3.570070542468639,245969681556898.34,30147544.87618,59871203.06931644,1.8478256181257937,7.331906669534295,1.6549866541912874
2023,21912267673966.043,1216481.3378004816,3.2839921468827704,295694678683919,35844825.581413336,59871203.06931644,1.8846312744304525,7.41043693159897,2.031830455105586
